
CONFIGURATION_BEGIN
ProcessingMode,PORTFOLIO_REFRESH
CONFIGURATION_END

TYPE,SWAP
VERSION,5
ACTION,ADD
MODE,TABULAR
FIELDS
PORTFOLIO_NAME,PORTFOLIO_CUSTOM_ID,SWAP TYPE,ONE LEG DEALS PAY RECEIVE,SWAP COUNTERPARTY,PRIVILEGE,DEAL NOTIONAL,DEAL EFFECTIVE DATE,DEAL MATURITY DATE,CURRENCY,DAYS BEFORE ACCRUAL TYPE,DAYS BEFORE ACCRUAL,INDEX NAME,STRIKE,PAY FREQUENCY,DISTRIBUTION TYPE
LoanBoss Cap Volatility Update,LBCP4.517_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2026,11/20/2026,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.518_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2026,12/20/2026,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.519_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2026,01/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.520_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2027,02/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.521_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2027,03/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.522_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2027,04/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.523_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2027,05/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.524_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2027,06/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.525_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2027,07/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.526_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2027,08/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.527_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2027,09/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.528_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2027,10/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.529_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2027,11/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.530_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2027,12/20/2027,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.531_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2027,01/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.532_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2028,02/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
LoanBoss Cap Volatility Update,LBCP4.533_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2028,03/20/2028,USD,Lookback,0,TSFR1M,4.5,M,Normal
